%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9
1595768234172283642,17376,1595768234171444932,base_link,391,391,471,368,1055,612,755,569,435,365
1595768234217991201,17377,1595768234211444932,base_link,388,402,471,369,1056,633,766,559,426,375
1595768234255644173,17378,1595768234253444932,base_link,391,392,450,367,1065,602,734,595,451,380
1595768234295624692,17379,1595768234294444932,base_link,391,391,471,367,1055,612,734,574,430,380
1595768234334848415,17380,1595768234335444932,base_link,391,391,460,368,1045,622,734,569,435,375
1595768234377096682,17381,1595768234375444932,base_link,388,391,482,380,1046,633,755,559,426,377
1595768234416981104,17382,1595768234415444932,base_link,401,390,460,368,1045,612,755,559,415,365
1595768234458272332,17383,1595768234456444932,base_link,391,391,471,368,1055,602,744,559,425,375
1595768234498269041,17384,1595768234497444932,base_link,401,390,471,368,1055,612,755,559,415,365
1595768234537583983,17385,1595768234538444932,base_link,388,391,471,369,1056,623,755,580,436,375
1595768234579732975,17386,1595768234578444932,base_link,391,391,470,367,1055,622,755,575,451,380
1595768234623410183,17387,1595768234618444932,base_link,401,390,460,367,1044,611,734,559,415,364
1595768234660513506,17388,1595768234660444932,base_link,391,391,471,368,1055,622,744,569,445,375
1595768234702742179,17389,1595768234701444932,base_link,390,390,469,367,1044,622,744,558,424,364
1595768234741306655,17390,1595768234742444932,base_link,391,380,471,367,1044,653,744,574,421,380
1595768234783227294,17391,1595768234782444932,base_link,391,391,471,358,1045,653,744,569,415,364
1595768234823594866,17392,1595768234822444932,base_link,391,391,471,368,1055,664,744,569,435,375
1595768234864915301,17393,1595768234864444932,base_link,390,390,469,367,1065,663,744,568,434,373
1595768234906489164,17394,1595768234905444932,base_link,388,391,482,369,1066,664,745,570,436,375
1595768234945931521,17395,1595768234945444932,base_link,391,391,471,358,1045,653,734,559,476,375
1595768234986215054,17396,1595768234985444932,base_link,391,391,470,357,1034,653,744,564,430,379
1595768235027442431,17397,1595768235027444932,base_link,391,391,460,358,1045,664,734,579,445,375
1595768235068615346,17398,1595768235067444932,base_link,391,391,471,358,1045,653,744,549,415,380
1595768235108937448,17399,1595768235107444932,base_link,390,378,469,356,1068,666,758,583,449,377
1595768235148688696,17400,1595768235148444932,base_link,391,391,471,368,1055,653,744,569,517,365
1595768235191350334,17401,1595768235189444932,base_link,391,391,471,368,1045,664,744,569,425,375
1595768235231132397,17402,1595768235230444932,base_link,390,378,469,356,1048,666,747,583,530,388
1595768235272753423,17403,1595768235270444932,base_link,390,390,459,356,1058,666,758,562,428,377
1595768235311637665,17404,1595768235310444932,base_link,390,390,469,367,1064,652,733,568,434,364
1595768235351480844,17405,1595768235351444932,base_link,391,391,481,368,1045,664,724,559,435,391
1595768235392669127,17406,1595768235391444932,base_link,391,391,471,367,1044,653,724,574,461,389
1595768235432697762,17407,1595768235431444932,base_link,391,391,471,368,1045,664,755,559,517,375
1595768235472746356,17408,1595768235472444932,base_link,391,391,471,368,1066,664,744,579,425,375
1595768235514077574,17409,1595768235513444932,base_link,401,391,460,368,1055,664,755,549,415,365
1595768235555161303,17410,1595768235553444932,base_link,391,379,460,357,1055,653,755,574,533,379
1595768235596195676,17411,1595768235593444932,base_link,390,390,459,367,1058,666,788,562,439,379
1595768235635942457,17412,1595768235634444932,base_link,390,390,459,356,1044,653,744,568,434,373
1595768235676751915,17413,1595768235676444932,base_link,391,391,460,358,1045,664,734,569,425,380
1595768235717276133,17414,1595768235716444932,base_link,391,391,460,357,1044,664,755,574,441,379
